category_group_id,observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on
eligibility_group:3a576676bc82902a,Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,13,Atlanta_GA_L|LA_CA_L|Macon_GA_M|NYC_NY_L,Reilly Dental || Altadena Dental Center || DENTAL CLINIC LLC || Golden Care Dentistry || Ladera Dental,,,,
eligibility_group:4fb818b440620080,Pathologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,6,NYC_NY_L,"Daria Vasilyeva, DDS, PhD || Daria Vasilyeva, DDS, PhD || Daria Vasilyeva, DDS, PhD || Elizabeth Marie Philipone, DMD || Khanh Trinh, DMD",,,,
eligibility_group:933ded2705f84074,Doctor,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,5,LA_CA_L|NYC_NY_L|SanFrancisco_CA_L,"AHF - Downtown Dental Office || Dr. mihai M. oral, DDS || Madison Avenue Dentists || Heena Gupta, DDS || Raul A. Montalvo, DDS",,,,
eligibility_group:d6a5057259cdd490,Medical Center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,5,Atlanta_GA_L|LA_CA_L|NYC_NY_L,Southside Medical Center || Miracle Mile Medical Group || Ezra Medical Center - 13th Avenue || Midwood Medical Plaza || One Brooklyn Health-Brookdale University Hospital Medical Center,,,,
eligibility_group:e2e1c692637d4bf7,Denture care center,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,3,LA_CA_L|NYC_NY_L,"Erin Lobo Marwah, DDS || Urgent Care Dentist 24/7 || All Dental Technology",,,,
eligibility_group:2897f4835d55a24e,General practitioner,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,3,LA_CA_L|NYC_NY_L,Mark Wienberg DDS || Emergency Dentist || Epel Lidia M DDS,,,,
eligibility_group:cd7c905ec844ba9b,Surgical center,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,3,LA_CA_L|NYC_NY_L,"Burbank Oral & Maxillofacial Surgery || Southern California Oral & Maxillofacial Surgical Arts || Sol D. Haber, DDS",,,,
eligibility_group:1fa47dbf03af3215,Medical group,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,2,NYC_NY_L,First Medcare Medical Clinic || Medical Practice Administrator,,,,
eligibility_group:f2764acdfe16f6b9,Medical office,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,2,Augusta_GA_L|SaranacLake_NY_S,Medical Associates Plus - Walton Way || Mountain Medical Services Saranac Lake,,,,
eligibility_group:d16e42946397b3ed,Sleep clinic,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,2,NYC_NY_L,Integrative Dental Wellness and Airway Health at Central Park South || Long Island Dental Sleep Medicine,,,,
eligibility_group:6fb59f6854cdbdc4,Veterans hospital,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,2,Augusta_GA_L,Charlie Norwood VA Medical Center - Downtown Division || Charlie Norwood VA Medical Center - Uptown Division,,,,
eligibility_group:eaa7af85211eac46,Acupuncturist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Shafaa Center Integrative Medicine & Dentistry,,,,
eligibility_group:7498ca3084dac7b1,Church,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Eureka_CA_S,Wolven Richard F DDS,,,,
eligibility_group:ce20189a50f385ea,Community health center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Center for Family Health and Education - Family Medicine/Pediatrics,,,,
eligibility_group:7a28c79fb5a219d8,Cosmetics store,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,"Vivienne Lago, DDS (Lyons Dental Place)",,,,
eligibility_group:43a4472af04e0a96,Dental radiology,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,Dental Diagnostic Imaging Center,,,,
eligibility_group:192e3304f6009b7f,Free clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Buffalo_NY_L,Lighthouse Free Medical Clinic,,,,
eligibility_group:cce893253d25bbe4,Hospital,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Syracuse_NY_M,St. Joseph's Health Hospital,,,,
eligibility_group:fdbeba08ad1ee9f8,Housing society,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Eureka_CA_S,Wonenberg Brett DDS,,,,
eligibility_group:8599b6d2aadfa0b5,Medical clinic|Pediatrician,needs_category_review,exclude|manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Augusta_GA_L,Christ Community Health Medical District,,,,
eligibility_group:99b446ef94da2153,Medical school,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,Hammer Health Sciences Building - Columbia University Irving Medical Center,,,,
eligibility_group:b3e913bb6e89851c,Pain control clinic,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Geld Rejuvenation Dentistry,,,,
eligibility_group:e2269ede4de1d3e3,Pain management physician,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"Dr. Nojan Bakhtiari, DDS - TMJ & Orofacial Pain Specialist",,,,
eligibility_group:c0fd3acfd6eb1c49,Pediatric clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Eureka_CA_S,Providence Medical Group Eureka - Pediatrics,,,,
eligibility_group:ddca1ad33db9248e,Plastic surgeon,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Tooth Preventive Dental,,,,
eligibility_group:24b84cf81d363dd1,Radiologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,"King Chong Chan, DMD",,,,
eligibility_group:6fc56a4974e7ffc2,Speech pathologist,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,NYC_NY_L,Taylor Judy a DDS,,,,
eligibility_group:beb60e706182afeb,Surgeon|Surgical center,needs_category_review,manual_review|unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Augusta_GA_L,Oral & Maxillofacial Surgery,,,,
eligibility_group:ac8e4225d949620f,University,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Buffalo_NY_L,UB Dental Clinic,,,,
eligibility_group:5896a9c912cf053a,Walk-in clinic,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,White Plains Road Medical,,,,
